question,answer,,,,,,
What is the Red River Showdown?,"The Red River Showdown is OU's annual football game against the University of Texas, played at the Cotton Bowl in Dallas.",,,,,,
Does OU have a marching band?,"Yes, OU has the Pride of Oklahoma marching band that performs at football games and other events.",,,,,,
What fight songs does OU have?,OU has traditional fight songs including 'Boomer Sooner' that are played at athletic events.,,,,,,
Does OU have cheerleaders?,"Yes, OU has cheerleading squads that support athletic teams and represent the university.",,,,,,
What is OU's school colors?,OU's school colors are crimson and cream.,,,,,,
Does OU have a school song?,"Yes, OU has official school songs including 'Boomer Sooner' and others.",,,,,,
What notable alumni does OU have?,"OU has notable alumni in politics, business, entertainment, and other fields throughout its history.",,,,,,
Does OU have famous faculty?,OU has distinguished faculty members who are leaders in their respective fields.,,,,,,
What Nobel Prize winners are associated with OU?,OU may have Nobel Prize winners among its faculty or alumni throughout its history.,,,,,,
Does OU have Pulitzer Prize winners?,OU may have Pulitzer Prize winners among its journalism faculty and alumni.,,,,,,
What presidents has OU had?,OU has had various presidents throughout its history leading the institution's growth and development.,,,,,,
Does OU have a foundation?,"Yes, OU has a foundation that manages endowments and fundraising for the university.",,,,,,
What capital campaigns has OU conducted?,"OU has conducted various capital campaigns to fund facilities, scholarships, and programs.",,,,,,
Does OU have naming opportunities?,"Yes, OU offers naming opportunities for donors who contribute to buildings, programs, and scholarships.",,,,,,
What endowments does OU have?,"OU has various endowments supporting scholarships, faculty positions, and programs.",,,,,,
Does OU have planned giving programs?,OU likely has planned giving programs for donors who want to include the university in their estate plans.,,,,,,
What corporate partnerships does OU have?,"OU has partnerships with corporations for research, internships, and program support.",,,,,,
